title,organisation,format,tags,dates,location,url
NHR Perflab Seminar,NHR@FAU,Other,Seminar,Rolling basis,Online,https://hpc.fau.de/research/nhr-perflab-seminar-series/
Introduction to CUDA C/C++,NHR@FAU,Scheduled (online),CUDA,3-4 September 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/cuda/
Scaling CUDA-Accelerated Applications,NHR@FAU,Scheduled (online),CUDA,7-9 September 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/scaling-cuda/
C++ for Beginners,NHR@FAU,Scheduled (online),C/C++,17-18 September 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/cpp-beginner/
GPU Performance Engineering,NHR@FAU,Scheduled (online),Performance Engineering,28-30 September 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/gpu-performance-engineering/
Core-Level Performance Engineering,NHR@FAU,Scheduled (online),Performance Engineering,5 October 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/performance-engineering/clpe/
Modern C++ Software Design,NHR@FAU,Scheduled (online),C/C++,7-9 October 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/cpp-sw-design/
Fundamentals of Accelerated Computing with Modern CUDA C/C++,NHR@FAU,Scheduled (online),CUDA,27-29 October 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/dli-modern-cuda/
Introduction to Git,NHR@FAU,Scheduled (online),Git,2-3 November 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/git-beginner/
Git for Advanced Users,NHR@FAU,Scheduled (online),Git,4-5 November 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/software-engineering/git-advanced/
Choosing GPU Programming Approaches,NHR@FAU,Scheduled (online),Other GPU,9-10 November 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/gpu-programming/gpu-approaches/
Node-Level Performance Engineering,NHR@FAU,Scheduled (online),Performance Engineering,1-3 December 2026,Online,https://hpc.fau.de/teaching/tutorials-and-courses/performance-engineering/nlpe/
High-Performance Scientific Computing in C++ ,JSC,Scheduled (online),C/C++,12-15 October 2026,Online,https://www.fz-juelich.de/en/jsc/news/events/training-courses/training-courses-2026/hpc-cplusplus
Parallel I/O and Portable Data Formats,JSC,Scheduled (online),I/O,26-28 October 2026,Online,https://www.fz-juelich.de/en/jsc/news/events/training-courses/training-courses-2026/parallel-io
Directive-based GPU Programming with OpenACC,JSC,Scheduled (online),OpenACC,3-5 November 2026,Online,https://www.fz-juelich.de/en/jsc/news/events/training-courses/training-courses-2026/gpu-openacc
How to write a good application,UKRI,Online (self-service),Professional Skills,Self-paced,Online,https://www.ukri.org/councils/esrc/guidance-for-applicants/how-to-write-a-good-application/
Programming with Python,Software Carpentry,Online (self-service),Python,Self-paced,Online,https://swcarpentry.github.io/python-novice-inflammation/
Plotting and Programming in Python,Software Carpentry,Online (self-service),Python,Self-paced,Online,http://swcarpentry.github.io/python-novice-gapminder
Image Processing with Python,Software Carpentry,Online (self-service),Python,Self-paced,Online,https://datacarpentry.org/image-processing/
The Unix Shell,Library Carpentry,Online (self-service),UNIX,Self-paced,Online,https://librarycarpentry.org/lc-shell/
Message Passing programming with MPI,EPCC/ARCHER2,Scheduled (in-person),MPI,9-10 September 2026,Durham,https://www.archer2.ac.uk/training/courses/260909-mpi/
Running GeoChemFoam on HPC: From Micro-CT Images to Remote Visualisation,EPCC/ARCHER2,Scheduled (online),Other,16 September 2026,Online,https://www.archer2.ac.uk/training/courses/260916-geochemfoam-vt/
Message-Passing with MPI,EPCC/ARCHER2,Online (self-service),MPI,Self-paced,Online,https://www.archer2.ac.uk/training/courses/210000-mpi-self-service/
Hands-on Introduction to HPC,EPCC/ARCHER2,Online (self-service),Intro to HPC,Self-paced,Online,https://www.archer2.ac.uk/training/courses/240000-intro-hpc-self-service/
Shared Memory Programming with OpenMP,EPCC/ARCHER2,Online (self-service),OpenMP,Self-paced,Online,https://www.archer2.ac.uk/training/courses/210000-openmp-self-service/
Green software use on HPC,EPCC,Scheduled (in-person),Other,2 October 2026,University of Cambridge,https://www.archer2.ac.uk/training/courses/261002-green-computing/
Data Analysis and Visualisation in Python,ARCHER2,Scheduled (online),Python,28 - 29 September 2026 09:30 - 16:30,Online,https://www.archer2.ac.uk/training/courses/260928-analysis-visualisation-python/
GPU programming using OpenMP,ARCHER2,Scheduled (online),OpenMP offload,"6, 8, 13, 15 and 20 October 2026 10:00 - 12:00",Online,https://www.archer2.ac.uk/training/courses/261006-gpu-openmp/
Transferring data from ARCHER2,ARCHER2,Scheduled (online),Other,Wednesday 7th October 2026 15:00 - 16:00,Online,https://www.archer2.ac.uk/training/courses/261007-archer2-data-transfer-vt/
Containers for Reproducible Research: Introduction to Podman and Apptainer,ARCHER2,Scheduled (in person),Containers,7 October 2026 09:30 - 16:00,"SALC 10, Level 5, Sherfield Building, Imperial College London",https://www.archer2.ac.uk/training/courses/261007-containers/
Modern C++ for Computational Scientists,ARCHER2,Scheduled (online),C/C++,14 - 16 October 2026 09:30 - 16:30,Online,https://www.archer2.ac.uk/training/courses/261014-modern-c/
High-Performance Computing Concepts Introduction,Durham University,Online (self-service),Intro to HPC,Self-paced,Online,https://shareing-dri.github.io/hpc-concepts-course/
Introduction to Scientific Software Programming in C and C++,Durham University and DiRAC,Online (self-service),C/C++,Self-paced,Online,https://training-academy.dirac.ac.uk/enrol/index.php?id=23
55th VI-HPS Tuning Workshop,"VI-HPS, Durham University",Scheduled (in-person),Performance Analysis,17-20 May 2027,Durham,https://www.vi-hps.org/training/tws/tuning-workshop-series.html
